kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err2,koi_time0bk,koi_time0bk_err2,koi_impact,koi_impact_err2,koi_duration,koi_duration_err2,koi_depth,koi_prad_err1,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,koi_srad_err2,ra,dec,koi_kepmag,koi_prad
K07877.01,FALSE POSITIVE,FALSE POSITIVE,0.135,6.70995253,-5.509e-05,134.02352,-0.0063,0.616,-0.404,2.297,-0.2,86.0,0.33,1120.0,372.31,9.8,1.0,6461.0,4.396,1.131,-0.145,299.79675,44.163071,13.872,1.1
K06149.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0.503199724,-2.677e-06,131.90627,-0.00457,0.492,-0.294,1.117,-0.187,275.6,0.05,1363.0,819.89,10.1,1.0,4013.0,4.639,0.63,-0.064,286.1767,42.196529,14.155,1.06
K06240.01,FALSE POSITIVE,FALSE POSITIVE,0.0,4.768540307,-0.002147863706805708,133.8648842,-0.009932560537870474,0.806,-0.3325574643249177,0.9938,-0.33994151372118553,347.6,0.49,1010.0,246.11,4.0,1.0,5491.0,4.432,0.887,-0.137,296.20621,49.47205,14.189,1.84
K00353.03,CANDIDATE,CANDIDATE,0.975,11.1619384,-0.0001677,133.5538,-0.013,0.739,-0.532,5.195,-0.407,124.4,0.34,1093.0,337.23,13.4,3.0,6200.0,4.072,1.64,-0.343,295.21268,49.56218,13.374,1.97
K02081.02,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,589.17968,-0.04256,185.0175,-0.0518,0.0431,-0.043,10.2,-2.3,253.4,2.18,330.0,2.82,7.7,2.0,5295.0,3.617,3.152,-1.594,291.72916,38.070019,13.439,4.91
K06242.03,CANDIDATE,CANDIDATE,0.48376823014383996,78.86684,-0.00305,143.7314,-0.033,0.2074,-0.2074,4.5,-1.0,86.1,0.77,573.0,25.44,4.8,6.0,6907.0,4.264,1.381,-0.222,289.03772,49.712601,12.914,1.3
K00896.03,CANDIDATE,CANDIDATE,1.0,28.8672107,-0.000338,156.19578,-0.00935,0.041,-0.041,3.782,-0.312,347.1,0.14,493.0,14.0,12.0,3.0,5191.0,4.564,0.837,-0.03,293.0614,43.58136,15.258,1.51
K01334.02,FALSE POSITIVE,FALSE POSITIVE,0.0,94.225938,-0.002368,196.1319,-0.0193,0.213,-0.213,22.08,-0.532,530.4,0.45,348.0,3.48,25.4,3.0,5421.0,4.564,0.852,-0.062,289.7439,39.286301,15.454,1.93
K06151.01,CANDIDATE,CANDIDATE,0.48376823014383996,431.78556,-0.01936,507.3561,-0.0273,0.196,-0.1958,9.135,-0.862,332.6,0.47,211.0,0.47,9.4,1.0,5642.0,4.6,0.747,-0.05,291.20096,42.449989,14.401,1.36
K06245.01,CANDIDATE,CANDIDATE,0.48376823014383996,144.102562,-0.002815,198.0696,-0.0166,0.0879,-0.0879,2.753,-0.633,171.3,0.72,437.0,8.64,4.1,2.0,6528.0,4.257,1.26,-0.227,297.51782,49.917702,12.431,1.67
K06245.02,CANDIDATE,CANDIDATE,0.48376823014383996,112.317402,-0.002042,241.6462,-0.0117,0.5434,-0.3447,3.471,-0.487,182.4,0.76,475.0,12.05,7.8,3.0,6528.0,4.257,1.26,-0.227,297.51782,49.917702,12.431,1.77
K06246.01,CANDIDATE,CANDIDATE,1.0,9.13315062,-3.183e-05,139.9861,-0.0028,0.275,-0.275,2.1557,-0.0835,231.2,0.49,900.0,155.42,23.0,1.0,6122.0,4.487,0.964,-0.101,287.16504,50.113232,11.767,1.48
